Name,Year,x,n,dying_prob,LEx,dying_prob_annual
AFRICA,2025,70,5,0.22202967,11.0674,0.044405934
AFRICA,2025,75,5,0.32675599,8.4889,0.065351198
AFRICA,2025,80,5,0.46163474,6.3834,0.09232694799999999
AFRICA,2025,85,5,0.60695556,4.7756,0.121391112
AFRICA,2025,90,5,0.73821363,3.6154,0.147642726
AFRICA,2025,95,5,0.82697727,2.8724,0.165395454
AFRICA,2025,100,-1,1,2.4321,-1
Eastern Africa,2025,0,1,0.03381884,65.596,0.03381884
Eastern Africa,2025,1,4,0.01413898,66.8868,0.003534745
Eastern Africa,2025,5,5,0.00772837,63.822,0.001545674
Eastern Africa,2025,10,5,0.00533646,59.3017,0.001067292
Eastern Africa,2025,15,5,0.00826832,54.6062,0.0016536639999999998
Eastern Africa,2025,20,5,0.01214249,50.0388,0.0024284980000000003
Eastern Africa,2025,25,5,0.01469037,45.622,0.0029380739999999997
Eastern Africa,2025,30,5,0.01793706,41.264,0.0035874120000000003
Eastern Africa,2025,35,5,0.02286889,36.9705,0.004573778
Eastern Africa,2025,40,5,0.0300048,32.775,0.0060009600000000005
Eastern Africa,2025,45,5,0.03878646,28.7088,0.007757292000000001
Eastern Africa,2025,50,5,0.05324199,24.7621,0.010648398
Eastern Africa,2025,55,5,0.0708806,21.0084,0.01417612
Eastern Africa,2025,60,5,0.10260791,17.4128,0.020521582
Eastern Africa,2025,65,5,0.15048328,14.104,0.030096656
Eastern Africa,2025,70,5,0.22367007,11.142,0.044734014
Eastern Africa,2025,75,5,0.32357295,8.6095,0.06471459
Eastern Africa,2025,80,5,0.45224091,6.5262,0.090448182
Eastern Africa,2025,85,5,0.59429317,4.9019,0.118858634
Eastern Africa,2025,90,5,0.7233642,3.7255,0.14467284
Eastern Africa,2025,95,5,0.82241945,2.8934,0.16448389000000002
Eastern Africa,2025,100,-1,1,2.3194,-1
Burundi,2025,0,1,0.03636798,63.4455,0.03636798
Burundi,2025,1,4,0.0159568,64.8344,0.0039892
Burundi,2025,5,5,0.01654904,61.8531,0.003309808
Burundi,2025,10,5,0.00982113,57.8556,0.0019642260000000003
Burundi,2025,15,5,0.01318338,53.4054,0.002636676
Burundi,2025,20,5,0.01791513,49.0828,0.0035830260000000004
Burundi,2025,25,5,0.0197051,44.9318,0.00394102
Burundi,2025,30,5,0.02174568,40.7841,0.004349136
Burundi,2025,35,5,0.02485537,36.6344,0.004971074000000001
Burundi,2025,40,5,0.03065215,32.5028,0.00613043
Burundi,2025,45,5,0.03717185,28.4495,0.00743437
Burundi,2025,50,5,0.05114079,24.4479,0.010228158
Burundi,2025,55,5,0.06812044,20.625,0.013624088000000001
Burundi,2025,60,5,0.10139749,16.9424,0.020279498
Burundi,2025,65,5,0.15344426,13.5564,0.030688852
Burundi,2025,70,5,0.23418791,10.54,0.046837582
Burundi,2025,75,5,0.34683459,7.9731,0.069366918
Burundi,2025,80,5,0.49603807,5.8691,0.099207614
Burundi,2025,85,5,0.65429227,4.2704,0.130858454
Burundi,2025,90,5,0.79869831,3.0934,0.159739662
Burundi,2025,95,5,0.90114293,2.2667,0.180228586
Burundi,2025,100,-1,1,1.7836,-1
Comoros,2025,0,1,0.04113578,65.4974,0.04113578
Comoros,2025,1,4,0.01247781,67.3001,0.0031194525
Comoros,2025,5,5,0.00556862,64.1295,0.001113724
Comoros,2025,10,5,0.00423564,59.4764,8.471279999999999e-4
Comoros,2025,15,5,0.00755209,54.7182,0.001510418
Comoros,2025,20,5,0.01001938,50.1139,0.002003876
Comoros,2025,25,5,0.01061467,45.5955,0.002122934
Comoros,2025,30,5,0.01251373,41.0575,0.002502746
Comoros,2025,35,5,0.01634607,36.545,0.0032692140000000003
Comoros,2025,40,5,0.02263424,32.1089,0.004526848
Comoros,2025,45,5,0.03288473,27.7915,0.006576946
Comoros,2025,50,5,0.04909821,23.6466,0.009819642
Comoros,2025,55,5,0.07334859,19.7309,0.014669718000000002
Comoros,2025,60,5,0.11211628,16.0838,0.022423256
Comoros,2025,65,5,0.16997701,12.7824,0.033995402
Comoros,2025,70,5,0.26021567,9.8658,0.052043134000000005
Comoros,2025,75,5,0.38412082,7.43,0.076824164
Comoros,2025,80,5,0.53033433,5.5111,0.106066866
Comoros,2025,85,5,0.68271527,4.0515,0.136543054
Comoros,2025,90,5,0.80660064,3.0264,0.161320128
Comoros,2025,95,5,0.89865899,2.2839,0.179731798
Comoros,2025,100,-1,1,1.8222,-1
Djibouti,2025,0,1,0.03572705,64.5068,0.03572705
Djibouti,2025,1,4,0.01583152,65.8915,0.00395788
Djibouti,2025,5,5,0.01425409,62.9201,0.002850818
Djibouti,2025,10,5,0.00860465,58.7973,0.00172093
Djibouti,2025,15,5,0.01172684,54.2864,0.002345368
Djibouti,2025,20,5,0.01605466,49.8986,0.0032109319999999997
Djibouti,2025,25,5,0.0176562,45.6711,0.00353124
Djibouti,2025,30,5,0.01952876,41.4465,0.0039057519999999997
Djibouti,2025,35,5,0.02242933,37.2216,0.004485866
Djibouti,2025,40,5,0.02807432,33.0166,0.005614864
Djibouti,2025,45,5,0.03446857,28.8961,0.006893714
Djibouti,2025,50,5,0.04814985,24.8349,0.00962997
Djibouti,2025,55,5,0.06441815,20.9591,0.012883629999999998
Djibouti,2025,60,5,0.09678266,17.2227,0.019356532000000003
Djibouti,2025,65,5,0.14753964,13.7848,0.029507928
Djibouti,2025,70,5,0.22659347,10.7176,0.045318694
Djibouti,2025,75,5,0.33883652,8.0988,0.067767304
Djibouti,2025,80,5,0.48798397,5.9543,0.097596794
Djibouti,2025,85,5,0.64810576,4.321,0.129621152
Djibouti,2025,90,5,0.79580853,3.1159,0.15916170599999999
Djibouti,2025,95,5,0.90076542,2.2732,0.18015308400000002
Djibouti,2025,100,-1,1,1.7819,-1
Eritrea,2025,0,1,0.0237062,69.0083,0.0237062
Eritrea,2025,1,4,0.00826346,69.6813,0.002065865
Eritrea,2025,5,5,0.00826377,66.2453,0.001652754
Eritrea,2025,10,5,0.00536014,61.7782,0.001072028
Eritrea,2025,15,5,0.0083094,57.0977,0.00166188
Eritrea,2025,20,5,0.0116605,52.5532,0.0023321
Eritrea,2025,25,5,0.01286039,48.1432,0.0025720779999999998
Eritrea,2025,30,5,0.01423766,43.7374,0.002847532
Eritrea,2025,35,5,0.01632851,39.3325,0.003265702
Eritrea,2025,40,5,0.02101667,34.9426,0.004203334
Eritrea,2025,45,5,0.02633006,30.6373,0.005266012
Eritrea,2025,50,5,0.03852554,26.3951,0.007705108
Eritrea,2025,55,5,0.0519345,22.3474,0.010386900000000001
Eritrea,2025,60,5,0.08027806,18.4284,0.016055612
Eritrea,2025,65,5,0.12531429,14.8043,0.025062858
Eritrea,2025,70,5,0.19636899,11.5483,0.039273798
Eritrea,2025,75,5,0.30276368,8.7317,0.060552735999999996
Eritrea,2025,80,5,0.44888765,6.4125,0.08977753000000001
Eritrea,2025,85,5,0.61251285,4.6333,0.12250257
Eritrea,2025,90,5,0.77107582,3.3124,0.154215164
Eritrea,2025,95,5,0.88577292,2.3952,0.177154584
Eritrea,2025,100,-1,1,1.8552,-1
Ethiopia,2025,0,1,0.03024033,67.5937,0.03024033
Ethiopia,2025,1,4,0.01212087,68.6975,0.0030302175
Ethiopia,2025,5,5,0.00955661,65.5171,0.001911322
Ethiopia,2025,10,5,0.00604322,61.1277,0.001208644
Ethiopia,2025,15,5,0.00888859,56.4842,0.001777718
Ethiopia,2025,20,5,0.01243176,51.9664,0.002486352
Ethiopia,2025,25,5,0.01363123,47.5885,0.002726246
Ethiopia,2025,30,5,0.01505718,43.2112,0.003011436
Ethiopia,2025,35,5,0.01734657,38.833,0.003469314
Ethiopia,2025,40,5,0.02233272,34.4729,0.004466544
Ethiopia,2025,45,5,0.02805421,30.2014,0.0056108419999999996
Ethiopia,2025,50,5,0.04066183,25.9978,0.008132366
Ethiopia,2025,55,5,0.05479725,21.9884,0.010959449999999999
Ethiopia,2025,60,5,0.08419937,18.1117,0.016839873999999998
Ethiopia,2025,65,5,0.13075444,14.5323,0.026150888
Ethiopia,2025,70,5,0.20407962,11.3229,0.040815923999999996
Ethiopia,2025,75,5,0.31196437,8.5576,0.062392874
Ethiopia,2025,80,5,0.45928347,6.2816,0.091856694
Ethiopia,2025,85,5,0.62307585,4.5366,0.12461517
Ethiopia,2025,90,5,0.77952476,3.2435,0.155904952
Ethiopia,2025,95,5,0.89297255,2.3423,0.17859450999999998
Ethiopia,2025,100,-1,1,1.8181,-1
Kenya,2025,0,1,0.02715501,64.3279,0.02715501
Kenya,2025,1,4,0.01049,65.1201,0.0026225
Kenya,2025,5,5,0.00421817,61.7942,8.43634e-4
Kenya,2025,10,5,0.00369273,57.0464,7.38546e-4
Kenya,2025,15,5,0.00714647,52.248,0.001429294
Kenya,2025,20,5,0.01207066,47.604,0.0024141320000000003
Kenya,2025,25,5,0.0175409,43.1532,0.0035081800000000005
Kenya,2025,30,5,0.02432512,38.8766,0.004865024
Kenya,2025,35,5,0.03349481,34.7806,0.006698962
Kenya,2025,40,5,0.04384614,30.8956,0.008769228
Kenya,2025,45,5,0.05717175,27.1939,0.01143435
Kenya,2025,50,5,0.07463424,23.6859,0.014926848000000001
Kenya,2025,55,5,0.09661367,20.3889,0.019322734
Kenya,2025,60,5,0.13207852,17.294,0.026415704
Kenya,2025,65,5,0.17306458,14.5329,0.034612916
Kenya,2025,70,5,0.21840626,12.0486,0.043681252
Kenya,2025,75,5,0.2813147,9.7131,0.05626294
Kenya,2025,80,5,0.37946603,7.5428,0.075893206
Kenya,2025,85,5,0.52314128,5.626,0.104628256
Kenya,2025,90,5,0.66539659,4.2017,0.133079318
Kenya,2025,95,5,0.78939093,3.1475,0.157878186
Kenya,2025,100,-1,1,2.365,-1
Madagascar,2025,0,1,0.03128919,67.4333,0.03128919
Madagascar,2025,1,4,0.0126296,68.6071,0.0031574
Madagascar,2025,5,5,0.00939373,65.4607,0.001878746
Madagascar,2025,10,5,0.00594328,61.0604,0.001188656
Madagascar,2025,15,5,0.00886633,56.4105,0.0017732660000000001
Madagascar,2025,20,5,0.0124018,51.8908,0.00248036
Madagascar,2025,25,5,0.01363615,47.5104,0.0027272299999999998
Madagascar,2025,30,5,0.01507941,43.1322,0.003015882
Madagascar,2025,35,5,0.01734993,38.7538,0.003469986
